Solidity,Eccentricity,EquivDiameter,Extrema,FilledArea,Extent,Orientation,EulerNumber,BoundingBox1,BoundingBox2,BoundingBox3,BoundingBox4,ConvexHull1,ConvexHull2,ConvexHull3,ConvexHull4,MajorAxisLength,MinorAxisLength,Perimeter,ConvexArea,Centroid1,Centroid2,Area,raddi
6.19,17.8,3.73,20.8,0.282,3.63,11.6,22.4,19.0,2.21,2.68,2.05,18.9,18.9,19.0,19.0,1.27,1.32,1.01,0.159,20.2,3.0,0.621,6.76
9.55,21.6,4.13,1.71,0.466,6.12,0.655,22.4,1.07,1.57,1.19,3.36,1.15,1.15,1.09,1.07,1.57,0.887,0.475,0.127,1.48,2.92,0.76,6.65
5.85,19.8,4.29,15.2,0.344,4.87,9.89,22.4,15.2,19.5,2.4,2.26,15.2,15.2,15.3,15.2,1.59,1.34,1.51,0.222,16.2,20.4,0.821,5.56
10.9,22.6,0.751,14.0,0.0123,4.17,14.4,23.0,13.6,16.2,0.547,0.384,13.4,13.4,13.6,13.6,0.333,0.0949,0.0736,0.00422,13.6,16.3,0.0287,5.22
4.16,21.3,4.58,6.95,0.376,2.83,14.5,22.3,4.28,13.9,3.41,3.09,4.52,4.52,4.28,4.28,2.52,1.56,1.27,0.351,5.93,14.7,0.931,6.76
8.65,22.6,3.4,17.1,0.211,4.08,12.8,22.6,14.9,5.84,3.16,1.29,14.8,14.8,14.9,15.3,1.96,0.58,0.798,0.0953,16.1,6.3,0.519,2.59
10.8,17.3,5.11,17.2,0.801,8.26,9.73,22.7,16.8,15.3,2.2,2.07,16.7,16.7,16.8,16.9,1.44,1.57,0.393,0.171,17.7,16.2,1.16,6.59
20.5,10.1,1.33,15.1,0.0339,15.6,20.3,23.0,15.1,21.2,0.345,0.48,15.0,15.0,15.1,15.1,0.206,0.306,0.06,0.0066,15.0,21.3,0.0845,2.0
6.07,22.7,3.56,10.0,0.227,2.7,20.9,22.5,9.17,15.5,1.35,4.95,10.0,10.0,10.1,9.17,2.44,0.616,0.701,0.148,9.84,18.0,0.569,4.83
11.4,21.4,4.14,5.81,0.416,5.0,16.8,22.6,4.22,10.1,2.04,2.42,4.67,4.67,4.24,4.22,1.42,0.845,0.474,0.107,5.18,11.0,0.765,7.99
5.02,18.9,4.19,22.2,0.323,2.71,17.1,22.0,20.1,13.7,2.75,3.36,20.1,20.1,20.2,20.2,1.67,1.57,1.01,0.245,21.2,14.7,0.782,5.82
10.7,22.1,1.08,20.2,0.0219,4.78,17.0,23.0,19.9,1.18,0.547,0.671,19.9,19.9,19.9,19.9,0.437,0.188,0.173,0.00845,19.9,1.3,0.0564,0.586
8.81,20.8,7.11,11.2,1.13,3.95,5.94,21.5,10.2,6.93,3.71,4.91,11.1,11.1,10.2,10.2,2.58,1.83,0.962,0.402,11.7,9.29,2.23,6.7
8.15,22.2,1.05,22.1,0.0243,3.71,17.7,22.9,21.9,6.62,0.619,0.729,22.1,22.1,21.9,21.9,0.487,0.206,0.163,0.0105,21.9,6.83,0.0537,0.722
11.8,22.8,0.788,8.23,0.0123,4.58,21.6,23.0,8.1,11.7,0.23,0.902,8.21,8.21,8.27,8.1,0.405,0.0655,0.0875,0.00426,8.0,12.0,0.0314,0.647
8.58,16.9,5.32,13.5,0.516,5.59,5.01,22.3,13.2,5.13,2.37,3.07,13.5,13.5,13.2,13.2,1.5,1.68,1.47,0.232,14.0,6.73,1.26,7.62
4.69,17.4,6.42,7.05,0.851,3.12,22.4,21.6,5.53,3.83,2.95,6.37,6.52,6.52,5.63,5.59,2.37,2.56,2.71,0.609,6.56,7.11,1.82,7.05
8.93,22.6,2.28,20.0,0.0949,6.42,22.7,22.7,20.1,15.8,0.446,2.63,19.9,19.9,20.1,20.1,1.16,0.324,0.369,0.0424,20.1,16.8,0.238,4.37
12.7,20.7,3.36,13.5,0.265,6.54,4.87,22.5,13.4,0.0774,1.24,2.01,13.4,13.4,13.5,13.4,0.941,0.676,0.354,0.0636,13.8,0.771,0.506,4.64
10.9,21.1,1.57,2.46,0.0461,5.63,15.4,22.9,1.9,15.6,0.863,0.748,1.88,1.88,2.02,2.02,0.511,0.329,0.185,0.0169,2.01,15.7,0.115,1.76
